Trindade & Martim Vaz Is.,273
Suriname,140
Franz Josef Land,61
Western Sahara,302
Bangladesh,305
Slovenia,499
Seychelles,379
Sao Tome & Principe,219
Sweden,284
Poland,269
Sudan,466
Egypt,478
Greece,236
Mount Athos,180
Dodecanese,45
Crete,40
Tuvalu,282
W. Kiribati (Gilbert Is.),301
C. Kiribati (British Phoenix Is.),31
E. Kiribati (Line Is.),48
Banaba I. (Ocean I.),490
Somalia,232
San Marino,278
Palau,22
Turkey,390
Iceland,242
Guatemala,76
Costa Rica,308
Cocos I.,37
Cameroon,406
Corsica,214
Central Africa,408
Republic of the Congo,412
Gabon,420
Chad,410
Cote d'Ivoire,428
Benin,416
Mali,442
European Russia,54
Kaliningrad,126
Asiatic Russia,15
Uzbekistan,292
Kazakhstan,130
Ukraine,288
Antigua & Barbuda,94
Belize,66
St. Kitts & Nevis,249
Namibia,464
Micronesia,173
Marshall Is.,168
Brunei Darussalam,345
Canada,1
Australia,150
Heard I.,111
Macquarie I.,153
Cocos (Keeling) Is.,38
Lord Howe I.,147
Mellish Reef,171
Norfolk I.,189
Willis I.,303
Christmas I.,35
Anguilla,12
Montserrat,96
British Virgin Is.,65
Turks & Caicos Is.,89
Pitcairn I.,172
Ducie I.,513
Falkland Is.,141
South Georgia I.,235
South Orkney Is.,238
South Sandwich Is.,240
South Shetland Is.,241
Bermuda,64
Chagos Is.,33
Hong Kong,321
India,324
Andaman & Nicobar Is.,11
Lakshadweep Is.,142
Mexico,50
Revillagigedo,204
Burkina Faso,480
Cambodia,312
Laos,143
Macao,152
Myanmar,309
Afghanistan,3
Indonesia,327
Iraq,333
Vanuatu,158
Syria,384
Latvia,145
Nicaragua,86
Romania,275
El Salvador,74
Serbia,296
Venezuela,148
Aves I.,17
Zimbabwe,452
Macedonia,502
South Sudan,34
Albania,7
Gibraltar,233
UK Sovereign Base Areas on Cyprus,283
St. Helena,250
Ascension I.,205
Tristan da Cunha & Gough I.,274
Cayman Is.,69
Tokelau Is.,270
New Zealand,170
Chatham Is.,34
Kermadec Is.,133
New Zealand Subantarctic Islands,16
Paraguay,132
South Africa,462
Prince Edward & Marion Is.,201
